Ticker,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
PriceType,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT
Date,,,,,,,,,,,,
2022-01-03,178.64564514160156,325.03802490234375,182.00999450683594,334.75,182.8800048828125,338.0,177.7100067138672,329.7799987792969,177.8300018310547,335.3500061035156,104487900,28865100
2022-01-04,176.37835693359375,319.464599609375,179.6999969482422,329.010009765625,182.94000244140625,335.20001220703125,179.1199951171875,326.1199951171875,182.6300048828125,334.8299865722656,99310400,32674300
2022-01-05,171.68667602539062,307.20111083984375,174.9199981689453,316.3800048828125,180.1699981689453,326.07000732421875,174.63999938964844,315.9800109863281,179.61000061035156,325.8599853515625,94537600,40054300
2022-01-06,168.82069396972656,304.7735595703125,172.0,313.8800048828125,175.3000030517578,318.70001220703125,171.63999938964844,311.489990234375,172.6999969482422,313.1499938964844,96904000,39646100
2022-01-07,168.98753356933594,304.9289245605469,172.1699981689453,314.0400085449219,174.13999938964844,316.5,171.02999877929688,310.0899963378906,172.88999938964844,314.1499938964844,86709100,32720000
2022-01-10,169.00718688964844,305.15216064453125,172.19000244140625,314.2699890136719,172.5,314.7200012207031,168.1699981689453,304.69000244140625,169.0800018310547,309.489990234375,106765600,44289500
2022-01-11,171.84373474121094,305.8416748046875,175.0800018310547,314.9800109863281,175.17999267578125,316.6099853515625,170.82000732421875,309.8900146484375,172.32000732421875,313.3800048828125,76138300,29386800
2022-01-12,172.28541564941406,309.0361328125,175.52999877929688,318.2699890136719,177.17999267578125,323.4100036621094,174.82000732421875,317.0799865722656,176.1199951171875,319.6700134277344,74805200,34372200
2022-01-13,169.00718688964844,295.9570007324219,172.19000244140625,304.79998779296875,176.6199951171875,320.8800048828125,171.7899932861328,304.0,175.77999877929688,320.4700012207031,84505800,45366000
2022-01-14,169.8709259033203,301.2003479003906,173.07000732421875,310.20001220703125,173.77999877929688,310.82000732421875,171.08999633789062,303.75,171.33999633789062,304.25,80440800,39846400
